English,Bahasa
right,Kanan
out,keluar
about,tentang
up,ke atas
him,dia
now,Sekarang
one,satu
come,datang
well,Sehat
her,dia
how,Bagaimana
yeah,Ya
will,akan
got,telah mendapatkan
want,ingin
think,memikirkan
as,sebagai
see,melihat
did,telah melakukan
good,bagus
who,siapa
why,Mengapa
from,dari
let,membiarkan
his,miliknya
when,Kapan
going,pergi
time,waktu
back,kembali
look,Lihat
us,kita
would,akan
them,mereka
where,Di mana
were,adalah
take,mengambil
then,Kemudian
had,telah
or,atau
been,pernah
our,kita
gonna,akan
tell,memberi tahu
really,Sungguh
man,pria
some,beberapa
say,mengatakan
hey,Hai
could,bisa
by,oleh
need,membutuhkan
something,sesuatu
has,memiliki
too,juga
more,lagi
way,jalan
down,turun
make,membuat
very,sangat
never,tidak pernah
only,hanya
people,rakyat
over,lebih
because,Karena
little,kecil
please,Tolong
love,Cinta
should,sebaiknya
mean,berarti
said,dikatakan
sorry,Maaf
give,memberi
off,mati
am,saya
thank,terima kasih
any,setiap
two,dua
even,bahkan
much,banyak
doing,sedang mengerjakan
sure,Tentu
thing,benda
these,ini
help,membantu
first,Pertama
into,ke dalam
anything,apa pun
still,tetap
find,menemukan
life,kehidupan
nothing,Tidak ada apa-apa
sir,Pak
day,hari
god,Tuhan
work,bekerja
their,milik mereka
again,lagi
maybe,Mungkin
must,harus
before,sebelum
other,lainnya
wait,Tunggu
stop,berhenti
call,panggilan
after,setelah
won,menang
talk,bicara
away,jauh
than,dibandingkan
thought,pikiran
home,rumah
night,malam
put,meletakkan
great,Besar
those,itu
last,terakhir
better,lebih baik
everything,semuanya
told,diberi tahu
new,baru
things,hal-hal
always,selalu
keep,menyimpan
long,panjang
years,bertahun-tahun
leave,meninggalkan
does,melakukan
money,uang
around,sekitar
doesn,tidak
name,nama
place,tempat
ever,pernah
feel,merasa
guys,Teman-teman
father,ayah
guy,pria
made,dibuat
old,tua
which,yang
big,besar
lot,banyak
done,Selesai
hello,Halo
nice,Bagus
believe,meyakini
girl,gadis
someone,seseorang
fine,Bagus
thanks,terima kasih
wanted,diinginkan
kind,baik
coming,yang akan datang
house,rumah
every,setiap
through,melalui
being,makhluk
course,kursus
stay,tinggal
left,kiri
dad,ayah
enough,cukup
happened,telah terjadi
came,telah datang
may,mungkin
mother,ibu
wrong,salah
world,dunia
bad,buruk
might,mungkin
three,tiga
today,Hari ini
listen,mendengarkan
another,lain
understand,memahami
hear,mendengar
remember,Ingat
ask,bertanya
own,memiliki
same,sama
show,menunjukkan
else,kalau tidak
kill,membunuh
talking,pembicaraan
found,ditemukan
next,Berikutnya
getting,mendapatkan
care,peduli
car,mobil
looking,melihat
son,putra
try,mencoba
woman,wanita
went,telah pergi
dead,mati
many,banyak
mind,pikiran
friend,teman
best,terbaik
mom,Mama
hell,neraka
morning,Pagi
trying,mencoba
boy,anak laki-laki
together,bersama
yourself,dirimu sendiri
job,pekerjaan
saw,gergaji
family,keluarga
real,nyata
without,tanpa
baby,Sayang
room,ruang
wouldn,akan
already,sudah
move,bergerak
most,paling
seen,terlihat
live,hidup
miss,merindukan
actually,Sebenarnya
shit,kotoran
both,keduanya
heard,mendengar
once,sekali
ready,siap
head,kepala
used,digunakan
idea,ide
knew,tahu
hold,memegang
happy,senang
door,pintu
such,seperti
brother,saudara laki-laki
also,Juga
pretty,cantik
bit,sedikit
took,telah mengambil
haven,surga
yet,belum
men,pria
whole,utuh
start,awal
use,menggunakan
while,ketika
since,sejak
wife,istri
days,hari -hari
guess,tebakan
tomorrow,besok
matter,urusan
meet,bertemu
bring,membawa
tonight,malam ini
everyone,setiap orang
run,berlari
wanna,ingin
hard,keras
alone,sendiri
myself,saya sendiri
school,sekolah
gone,hilang
end,akhir
saying,pepatah
phone,telepon
play,bermain
looks,terlihat
couldn,bisa
fucking,sialan
problem,masalah
few,sedikit
friends,teman-teman
gotta,harus
ago,yang lalu
open,membuka
anyone,siapa pun
killed,terbunuh
hope,harapan
face,menghadapi
until,sampai
lost,hilang
police,POLISI
excuse,mengizinkan
turn,berbelok
business,bisnis
case,kasus
wants,keinginan
says,mengatakan
TRUE,BENAR
die,mati
heart,jantung
soon,segera
each,setiap
worry,khawatir
later,Nanti
year,tahun
watch,jam tangan
music,musik
hand,tangan
having,memiliki
probably,mungkin
beautiful,cantik
doctor,dokter
sit,duduk
eat,makan
thinking,pemikiran
young,muda
second,Kedua
working,bekerja
water,air
person,orang
part,bagian
kids,anak-anak
late,terlambat
stuff,hal-hal
exactly,tepat
under,di bawah
death,kematian
minute,menit
pay,membayar
crazy,gila
forget,lupa
everybody,semua orang
kid,anak
change,mengubah
gave,telah memberi
happen,terjadi
damn,berengsek
five,lima
drink,minum
far,jauh
knows,tahu
whatever,apa pun
eyes,mata
shut,ditutup
aren,aren
hit,memukul
taking,memukau
easy,mudah
times,waktu
check,memeriksa
hands,tangan
minutes,menit
deal,kesepakatan
different,berbeda
means,cara
point,titik
inside,di dalam
makes,membuat
asked,diminta
somebody,seseorang
mine,milikku
making,membuat
body,tubuh
afraid,takut
sleep,tidur
chance,peluang
dear,Sayang
quite,lumayan
four,empat
anyway,Bagaimanapun
close,menutup
party,berpesta
fun,seru
against,melawan
word,kata
comes,datang
important,penting
set,mengatur
shall,sebaiknya
story,cerita
number,nomor
daughter,anak perempuan
least,paling sedikit
waiting,menunggu
hurt,terluka
wish,mengharapkan
moment,momen
fight,bertarung
week,pekan
husband,suami
girls,cewek-cewek
rest,istirahat
married,telah menikah
fire,api
game,permainan
nobody,bukan siapa-siapa
children,anak-anak
side,samping
stand,berdiri
read,membaca
though,meskipun
cut,memotong
started,dimulai
sister,saudari
supposed,diperkirakan
between,di antara
child,anak
goes,pergi
hours,jam
speak,berbicara
women,wanita
behind,di belakang
almost,hampir
truth,kebenaran
blood,darah
able,mampu
lady,wanita
anymore,lagi
playing,bermain
gets,mendapat
shot,tembakan
reason,alasan
trouble,masalah
break,merusak
war,perang
city,kota
walk,berjalan
town,kota
trust,memercayai
met,bertemu
office,kantor
question,pertanyaan
brought,telah membawa
yours,milikmu
welcome,selamat datang
high,tinggi
couple,pasangan
half,setengah
died,mati
cool,Dingin
free,bebas
either,salah satu
seems,sepertinya
power,kekuatan
whoa,whoa
bye,selamat tinggal
buy,membeli
telling,pemberitaan
honey,Sayang
tried,dicoba
front,depan
team,tim
answer,menjawab
gun,senjata
boys,anak laki -laki
line,garis
send,mengirim
news,berita
stupid,bodoh
bed,tempat tidur
hurry,buru-buru
full,penuh
months,bulan
save,menyimpan
sometimes,Kadang-kadang
become,menjadi
along,bersama
hate,membenci
food,makanan
outside,di luar
light,lampu
needs,kebutuhan
dog,anjing
country,negara
clear,jernih
order,memesan
fact,fakta
lord,yang mulia
captain,Kapten
six,enam
hot,panas
funny,lucu
black,hitam
mrs.,nyonya.
alive,hidup
pick,memilih
feeling,merasa
living,hidup
cause,menyebabkan
ahead,di depan
lose,kehilangan
king,raja
plan,rencana
dinner,makan malam
sighs,menghela nafas
sort,menyortir
leaving,meninggalkan
shouldn,harus tidak
running,berlari
boss,bos
alright,Baiklah
promise,janji
taken,diambil
safe,aman
ma,ma
book,buku
sent,terkirim
white,putih
hour,jam
anybody,siapa saja
small,kecil
perfect,sempurna
cause,menyebabkan
lives,hidup
special,spesial
parents,orang tua
john,John
himself,diri
perhaps,mungkin
sounds,suara
serious,serius
sick,sakit
company,perusahaan
scared,takut
uncle,paman
poor,miskin
red,merah
past,masa lalu
earth,bumi
possible,mungkin
shoot,menembak
touch,menyentuh
sound,suara
top,atas
ass,pantat
laughs,tertawa
cannot,tidak bisa
asking,meminta
win,menang
glad,senang
control,kontrol
hmm,Hmm
human,manusia
drive,menyetir
hair,rambut
jack,mendongkrak
bitch,jalang
luck,keberuntungan
murder,pembunuhan
happens,terjadi
air,udara
ten,sepuluh
daddy,ayah
finally,Akhirnya
chuckles,terkekeh
fast,cepat
cold,dingin
seem,terlihat
laughing,tertawa
words,kata-kata
hospital,RSUD
street,jalan
hang,menggantung
dance,menari
meeting,pertemuan
till,sampai
others,yang lain
catch,menangkap
follow,mengikuti
sense,nalar
sex,seks
lie,berbohong
evening,malam
master,menguasai
known,diketahui
dream,mimpi
write,menulis
million,juta
voice,suara
sweet,manis
rather,lebih tepatnya
felt,dirasakan
sign,tanda
lucky,beruntung
somewhere,di suatu tempat
bet,bertaruh
longer,lebih lama
calling,panggilan
worked,bekerja
quiet,diam
looked,tampak
less,lebih sedikit
pull,menarik
beat,mengalahkan
careful,hati-hati
coffee,kopi
return,kembali
secret,rahasia
weeks,minggu -minggu
weren,weren
date,tanggal
seeing,melihat
fall,jatuh
given,diberikan
ooh,ooh
fault,kesalahan
straight,lurus
takes,mengambil
song,lagu
future,masa depan
gentlemen,Tuan -tuan
loved,dicintai
changed,berubah
road,jalan
calm,tenang
wonderful,luar biasa
mad,gila
turned,berbalik
drop,menjatuhkan
ladies,Wanita
learn,mempelajari
step,melangkah
absolutely,sangat
early,lebih awal
explain,menjelaskan
clean,membersihkan
piece,bagian
yesterday,Kemarin
throw,melemparkan
picture,gambar
land,tanah
feet,kaki
wonder,rasa takjub
questions,pertanyaan
speaking,berbicara
worth,bernilai
darling,Sayang
dude,bung
giving,memberi
president,Presiden
eye,mata
quick,cepat
moving,bergerak
figure,angka
state,negara
strong,kuat
sam,Sam
none,tidak ada
amazing,luar biasa
ones,satu
works,Pekerjaan
act,bertindak
needed,diperlukan
weird,aneh
law,hukum
worried,khawatir
report,laporan
goodbye,selamat tinggal
missing,hilang
choice,pilihan
happening,kejadian
chief,ketua
wedding,pernikahan
strange,aneh
general,umum
pain,nyeri
kidding,bercanda
decided,diputuskan
pass,lulus
tired,lelah
class,kelas
officer,petugas
kept,disimpan
wake,bangun
worse,lebih buruk
busy,sibuk
mistake,kesalahan
kiss,ciuman
court,pengadilan
building,bangunan
finish,menyelesaikan
during,selama
age,usia
ship,mengirimkan
caught,tertangkap
marry,nikah
meant,dimaksudkan
sell,menjual
dark,gelap
watching,menonton
system,sistem
suppose,memperkirakan
evidence,bukti
movie,film
ride,mengendarai
completely,sama sekali
mouth,mulut
totally,sama sekali
birthday,hari ulang tahun
tv,televisi
forgive,memaafkan
born,dilahirkan
imagine,membayangkan
information,informasi
instead,alih-alih
definitely,tentu saja
security,keamanan
certainly,tentu
film,film
month,bulan
lying,berbohong
unless,kecuali
train,kereta
seven,tujuh
wear,memakai
clothes,pakaian
michael,Michael
hotel,hotel
christmas,natal
attack,menyerang
round,bulat
expect,mengharapkan
sing,menyanyi
terrible,sangat buruk
george,George
bag,tas
history,sejarah
blue,biru
near,di dekat
broke,bangkrut
station,stasiun
seriously,dengan serius
forever,selamanya
david,David
frank,jujur
except,kecuali
thinks,berpikir
message,pesan
entire,seluruh
joe,Joe
table,meja
talked,berbicara
across,lintas
rock,batu
lovely,cantik
handle,menangani
middle,tengah
buddy,sobat
paid,dibayar
protect,melindungi
using,menggunakan
floor,lantai
ran,berlari
swear,bersumpah
spend,membelanjakan
situation,situasi
ring,cincin
anywhere,di mana saja
dangerous,berbahaya
bill,tagihan
york,York
army,tentara
lead,memimpin
bought,dibeli
finished,selesai
fair,adil
sun,matahari
letter,surat
fool,bodoh
attention,Perhatian
club,klub
simple,sederhana
interesting,menarik
space,ruang angkasa
test,tes
box,kotak
group,kelompok
single,lajang
sitting,duduk
marriage,pernikahan
join,bergabung
fear,takut
peace,perdamaian
forgot,lupa
force,memaksa
short,pendek
normal,normal
charlie,Charlie
present,hadiah
enjoy,menikmati
mike,Mike
crime,kejahatan
horse,kuda
ground,tanah
american,Amerika
count,menghitung
area,daerah
charge,mengenakan biaya
honor,menghormati
lunch,makan siang
miles,mil
radio,radio
idiot,idiot
ball,bola
surprise,kejutan
paper,kertas
key,kunci
boat,kapal
quickly,dengan cepat
gold,emas
bar,batang
fish,ikan
mark,tanda
tom,Tom
wearing,memakai
crying,menangis
accident,kecelakaan
government,pemerintah
eight,delapan
fell,menjatuhkan
cover,menutupi
certain,yakin
interested,tertarik
deep,dalam
star,bintang
sea,laut
agree,setuju
problems,masalah
detective,detektif
prison,penjara
major,besar
stick,tongkat
offer,menawarkan
difficult,sulit
smart,cerdas
personal,pribadi
record,catatan
stopped,berhenti
hide,bersembunyi
whether,apakah
bank,bank
trip,perjalanan
relax,santai
america,Amerika
public,publik
list,daftar
afternoon,sore
brain,otak
fix,memperbaiki
bastard,bajingan
proud,bangga
tea,teh
service,melayani
screaming,teriakan
forward,maju
angry,marah
park,taman
soul,jiwa
fighting,berkelahi
peter,Peter
rich,kaya
agent,agen
blow,meniup
paul,Paul
dress,gaun
mary,Mary
missed,dirindukan
scene,pemandangan
killing,pembunuhan
standing,kedudukan
saved,diselamatkan
respect,menghormati
killer,pembunuh
ice,Es
mess,kekacauan
tough,keras
feels,terasa
church,gereja
sad,sedih
cell,sel
drunk,mabuk
share,membagikan
camera,kamera
within,di dalam
card,kartu
fly,terbang
ben,Ben
girlfriend,pacar perempuan
laugh,tertawa
smell,bau
broken,rusak
mum,bungkam
honest,jujur
often,sering
starting,Mulai
calls,panggilan
spent,dihabiskan
third,ketiga
english,bahasa inggris
visit,mengunjungi
mama,mama
judge,hakim
window,jendela
hungry,lapar
dare,Berani
relationship,hubungan
moved,terharu
prove,membuktikan
private,pribadi
wall,dinding
seat,kursi
position,posisi
lieutenant,letnan
realize,menyadari
especially,khususnya
machine,mesin
walking,sedang berjalan
art,seni
pleasure,kesenangan
bloody,berdarah
college,kampus
french,Perancis
involved,terlibat
cry,menangis
became,menjadi
lived,hidup
impossible,mustahil
obviously,jelas sekali
neither,juga tidak
accept,menerima
boyfriend,pacar
besides,di samping itu
queen,ratu
teacher,guru
cops,polisi
sake,demi
loves,cinta
carry,membawa
teach,mengajar
apartment,Apartemen
upset,gundah
green,hijau
liked,menyukai
cute,imut-imut
evil,kejahatan
professor,profesor
contact,kontak
joke,candaan
cop,polisi
huge,sangat besar
holy,suci
store,toko
jail,penjara
likes,suka
lawyer,pengacara
doubt,ragu
continue,melanjutkan
appreciate,menghargai
cat,kucing
shop,toko
driving,menyetir
congratulations,Selamat
wrote,menulis
village,desa
quit,berhenti
field,bidang
